Date,adj close,close,high,low,open,volume,body,upper_wick,lower_wick,range,bullish,bearish,returns,log_returns,sma_20,ema_20,ema_50,rsi,macd,macd_signal,macd_hist,bb_high,bb_low,bb_mid,atr,obv,future_close,target
2021-08-17,16614.599609375,16614.599609375,16628.55078125,16495.400390625,16545.25,297400,69.349609375,13.951171875,49.849609375,133.150390625,1,0,0.0031122785775283823,0.0031074454639570138,16091.6625,16188.51338315248,15948.38483705238,77.81574151375425,198.83729636636963,146.36706956971628,52.47022679665335,16704.340563473274,15478.984436526727,16091.6625,145.24738186110784,2970200,16568.849609375,0
2021-08-18,16568.849609375,16568.849609375,16701.849609375,16535.849609375,16691.94921875,251800,123.099609375,9.900390625,33.0,166.0,0,1,-0.00275360231817956,-0.002757400455017452,16138.5,16224.735880887958,15972.71678890817,74.07912535048217,204.06039842993596,157.90573534176022,46.15466308817574,16746.695117720596,15530.304882279403,16138.5,146.72971172817157,2718400,16450.5,0
2021-08-20,16450.5,16450.5,16509.55078125,16376.0498046875,16382.5,350800,68.0,59.05078125,6.4501953125,133.5009765625,1,0,-0.007142898400624986,-0.007168531033199722,16169.822509765625,16246.237225565295,15991.453385421575,65.33853379561661,196.38610330532538,165.60180893447327,30.78429437085211,16774.528982098018,15565.116037433234,16169.822509765625,150.02043265383787,2367600,16496.44921875,1
2021-08-23,16496.44921875,16496.44921875,16592.5,16395.69921875,16592.25,275600,95.80078125,0.25,100.75,196.80078125,0,1,0.0027931806783987323,0.002789286998064274,16201.84248046875,16270.066939201934,16011.257143591318,66.96810898373917,191.80092539224825,170.84163222602828,20.959293166219965,16804.515810639707,15599.169150297792,16201.84248046875,153.3618861249923,2643200,16624.599609375,1
2021-08-24,16624.599609375,16624.599609375,16647.099609375,16495.30078125,16561.400390625,275400,63.19921875,22.5,66.099609375,151.798828125,1,0,0.007768362083601765,0.007738343720985011,16241.849951171875,16303.831955408892,16035.309789308325,71.05528414426098,196.2456071866527,175.9224272181532,20.323179968499517,16845.23414277804,15638.465759565708,16241.849951171875,153.25023912499287,2918600,16634.650390625,1
2021-08-25,16634.650390625,16634.650390625,16712.44921875,16617.5,16654.0,265900,19.349609375,58.44921875,17.150390625,94.94921875,0,1,0.0006045728309951315,0.0006043901504665573,16286.2599609375,16335.338473048521,16058.813342301137,71.35465426437749,198.29326228555146,180.39659423163286,17.896668053918603,16867.601289449845,15704.918632425151,16286.2599609375,149.0858805267791,3184500,16636.900390625,1
2021-08-26,16636.900390625,16636.900390625,16683.69921875,16603.400390625,16627.94921875,253500,8.951171875,46.798828125,24.548828125,80.298828125,1,0,0.00013525983096518424,0.00013525068417903375,16332.6349609375,16364.058655674853,16081.483422627563,71.42590331004061,197.81728537118033,183.88073245954234,13.936552911637989,16868.724064679183,15796.545857195815,16332.6349609375,144.17251964093774,3438000,16705.19921875,1
2021-08-27,16705.19921875,16705.19921875,16722.05078125,16565.599609375,16642.55078125,217400,62.6484375,16.8515625,76.951171875,156.451171875,1,0,0.004105261588480014,0.004096857993577663,16378.972412109375,16396.54823311058,16105.942865612758,73.57453985905424,200.63838051238417,187.23226207011072,13.406118442273453,16874.0881197736,15883.85670444515,16378.972412109375,145.04956622908506,3655400,16931.05078125,1
2021-08-30,16931.05078125,16931.05078125,16951.5,16764.849609375,16775.849609375,283500,155.201171875,20.44921875,11.0,186.650390625,1,0,0.013519836521704187,0.013429259014094868,16437.3724609375,16447.45323769529,16138.300038775003,79.1561846689054,218.57881182800338,193.50157202168927,25.07723980631411,16902.757543026793,15971.987378848205,16437.3724609375,152.28179587343612,3938900,17132.19921875,1
2021-08-31,17132.19921875,17132.19921875,17153.5,16915.849609375,16947.5,464400,184.69921875,21.30078125,31.650390625,237.650390625,1,0,0.011880446175423387,0.011810427696351353,16499.72490234375,16512.66714065288,16177.276477205396,82.66756226732457,246.18980788065892,204.03921919348323,42.150588687175684,16986.139302336574,16013.310502350925,16499.72490234375,158.37955264140496,4403300,17076.25,0
2021-09-01,17076.25,17076.25,17225.75,17055.05078125,17185.599609375,301900,109.349609375,40.150390625,21.19921875,170.69921875,0,1,-0.00326573477436376,-0.0032710789243950112,16546.99990234375,16566.34169868594,16212.5303408444,78.69640351277079,260.5535872480614,215.34209280439887,45.2114944436625,17063.63033887839,16030.369465809108,16546.99990234375,159.2595287920189,4101400,17234.150390625,1
2021-09-02,17234.150390625,17234.150390625,17245.5,17059.69921875,17095.400390625,242400,138.75,11.349609375,35.701171875,185.80078125,1,0,0.009246783727399066,0.009204293951085803,16595.767431640626,16629.942526489664,16252.593872208345,81.41049130175794,281.43403144904005,228.5604805333271,52.87355091571294,17174.746895654942,16016.787967626311,16595.767431640626,161.15533253901754,4343800,17323.599609375,1
2021-09-03,17323.599609375,17323.599609375,17340.099609375,17212.19921875,17262.44921875,261400,61.150390625,16.5,50.25,127.900390625,1,0,0.005190230833697296,0.005176808010644206,16647.217431640624,16696.005105812077,16294.594097195273,82.75112396208702,301.7216786127792,243.19272014921756,58.52895846356165,17289.429494829856,16005.00536845139,16647.217431640624,158.77997954515916,4605200,17377.80078125,1
2021-09-06,17377.80078125,17377.80078125,17429.55078125,17345.55078125,17399.349609375,228000,21.548828125,30.201171875,32.25,84.0,0,1,0.0031287476677577253,0.003123863322045117,16704.1974609375,16760.938027282355,16337.072790687616,83.52638439509244,318.5018753879267,258.2545511969594,60.24732419096728,17391.75896754885,16016.635954326148,16704.1974609375,155.00649328300491,4833200,17362.099609375,0
2021-09-07,17362.099609375,17362.099609375,17436.5,17287.0,17401.55078125,243400,39.451171875,34.94921875,75.099609375,149.5,0,1,-0.0009035189246697772,-0.0009039273439216094,16759.38994140625,16818.191511291177,16377.26992083222,82.37141252629644,326.76658706631497,271.95695837083053,54.809628695484435,17471.67443904249,16047.105443770011,16759.38994140625,154.61317233421886,4589800,17353.5,0
2021-09-08,17353.5,17353.5,17383.400390625,17254.19921875,17375.75,252700,22.25,7.650390625,99.30078125,129.201171875,0,1,-0.0004953092983268625,-0.0004954320044973781,16813.0599609375,16869.173272120588,16415.553453348602,81.70502352046182,328.83194404863025,283.3319555063905,45.49998854223975,17534.50076201247,16091.619159862525,16813.0599609375,152.79802944427465,4337100,17369.25,1
